Composer,Arranger/Transcriber,Title,Publisher Info,Editor,Instrumentation
Ralph Shapey,,Three concert pieces for young string players,Theodore Presser Company,Margaret Farish,"Violin, Viola, Cello and Percussion"
Antonin Dvorak,,Terzetto in C Major,Belwin Mills / EDWIN F. KALMUS,,2 Violins and Viola
Johann Pachelbel,,Canon and Gigue,"Fr. KISTNER & C.F.W. SIEGEL & Co., KOLN",Max Seiffert,3 Violins and Bass
Cesar Cui,,Five Pieces – Op. 56,International Music Company,,"Flute, Violin and Piano"
Joseph Haydn,,6 Divertimenti: No. 1 – 3,EDITIO MUSICA BUDAPEST,Zoltan Gardonyi,"Violin, Viola and Cello"
Johann Christian Bach,,Quartet in G major – W.B. 66,Schott & Co. Ltd – Published by Walter Bergmann,,"Violin, Viola, Cello and Cembalo"
Johann Sebastian Bach,,Brandenburg concerto no. 3,C. F. PETERS CORPORATION,,"3 Violins, 3 Violas, 3 Cellos and Basso Continuo"
Johann Sebastian Bach,,Brandenburg concerto no. 4,C. F. PETERS CORPORATION,,"Solo violin, 2 Recorders, Strings & Cembalo"
Johann Sebastian Bach,,Brandenburg concerto no. 6,C. F. PETERS CORPORATION,Continuo – Ludwig Landschoff,"2 Viola, 2 Viola da gamba, Cello, Bass & Cembalo"
Gioacchino Rossini,,Sonata No. 1 in G major,EDWIN F. KALMUS,,"2 Violins, Cello & Bass"
Gioacchino Rossini,,Sonata No. 2 in A major,VERLAG DOBLINGER,Rudolf Malaric,"2 Violins, Cello & Bass (Viola ad lib.)"
Gioacchino Rossini,,Sonata No. 3 in C major,"EDWIN F. KALMUS & Co., INC.",,"2 Violins, Cello & Bass"
Gioacchino Rossini,,Sonata No. 3 in C major,Doblinger,Rudolf Malaric,"2 Violins (or Viola), Cello & Bass"
Gioacchino Rossini,,Sonata No. 4 in B major,Doblinger,Rudolf Malaric,"2 Violins, Cello & Bass"
Gioacchino Rossini,,Sonata No. 5 in E flat major,"EDWIN F. KALMUS & Co., INC.",,String Quartet
Gioacchino Rossini,,Sonata No. 6 in D major,EDWIN F. KALMUS,,String Quartet
